idx,id,v1,delta_x,delta_v,a1
6437,19,5.616005294,20.74777007,0.956981122,-0.408268764
6438,19,5.549879393,20.85627632,1.085042041,-0.661268511
6439,19,5.487540541,20.97864714,1.223690845,-0.623401224
6440,19,5.455861795,21.11104107,1.323902738,-0.316765264
6441,19,5.46227834,21.24596759,1.349288607,0.064148163
6442,19,5.490775112,21.37521378,1.292475132,0.284935013
6443,19,5.515413255,21.49304103,1.178274873,0.246403129
6444,19,5.520470121,21.59774852,1.047135892,0.050573565
6445,19,5.511112503,21.6908744,0.931219751,-0.093602784
6446,19,5.505615788,21.77533802,0.844575235,-0.054953251
6447,19,5.51608629,21.85459674,0.792583328,0.104732812
6448,19,5.536676794,21.93294728,0.783546026,0.205921644
6449,19,5.551208602,22.0154671,0.825232466,0.145301979
6450,19,5.550510463,22.10668046,0.912053073,-0.006967986
6451,19,5.538545203,22.20906374,1.023837385,-0.119649392
6452,19,5.520388456,22.32326991,1.142120516,-0.181606282
6453,19,5.489472748,22.44970531,1.264356231,-0.309139277
6454,19,5.435333454,22.58928284,1.395769163,-0.54137854
6455,19,5.366067647,22.74198039,1.526963809,-0.692644675
6456,19,5.316463074,22.904543,1.625627279,-0.496038615
6457,19,5.328676589,23.07003838,1.65496872,0.122102442
6458,19,5.424112359,23.23028545,1.602457975,0.954348206
6459,19,5.591864985,23.37953665,1.492510823,1.677525244
6460,19,5.800578965,23.51652544,1.369869093,2.087168609
6461,19,6.017926513,23.64336028,1.268358927,2.173459377
6462,19,6.217473866,23.76297722,1.196168911,1.995479132
6463,19,6.375217048,23.87760703,1.146292993,1.577438423
6464,19,6.470403628,23.98907448,1.114634004,0.951839696
6465,19,6.49283782,24.09995326,1.108785619,0.224325821
6466,19,6.450840425,24.21392513,1.139763741,-0.419976149
6467,19,6.370976846,24.33452368,1.206007546,-0.79861019
6468,19,6.285643575,24.46342173,1.288919484,-0.853298309
6469,19,6.217130824,24.59995962,1.36539837,-0.685125309
6470,19,6.171095416,24.74225427,1.422992585,-0.460356282
6471,19,6.143312174,24.88851472,1.462609461,-0.27784971
6472,19,6.128583145,25.03767512,1.491585209,-0.147311306
6473,19,6.123971116,25.18914157,1.51466719,-0.046088088
6474,19,6.129164791,25.34181887,1.526744643,0.051933361
6475,19,6.145735101,25.49331451,1.51496205,0.165690395
6476,19,6.1750339,25.64058228,1.472692037,0.292994588
6477,19,6.215554018,25.78189274,1.413129781,0.405194582
6478,19,6.261893118,25.91843537,1.36545163,0.463397605
6479,19,6.30675937,26.05374057,1.352999806,0.448655912
6480,19,6.344664158,26.1911502,1.374071932,0.379070085
6481,19,6.374511496,26.33156042,1.404145047,0.298471678
6482,19,6.399787171,26.47315697,1.415985826,0.25273675
6483,19,6.427690127,26.61293765,1.397741433,0.279001763
6484,19,6.468211906,26.74848955,1.355562419,0.405208981
6485,19,6.531482927,26.87902013,1.305311681,0.632742417
6486,19,6.621998376,27.00555734,1.265312799,0.905174489
6487,19,6.73325033,27.13082167,1.252639855,1.112520042
6488,19,6.848735862,27.25855109,1.277293226,1.154837019
6489,19,6.950048613,27.39194664,1.333996042,1.013115813
6490,19,7.025616476,27.53191498,1.39966608,0.75568762
6491,19,7.073327818,27.67616955,1.442536338,0.477152223
6492,19,7.096839273,27.82009922,1.439327774,0.235096751
6493,19,7.100274206,27.9589721,1.388718302,0.034323237
6494,19,7.08546052,28.08994708,1.309742449,-0.148160765
6495,19,7.052736197,28.21245582,1.225084206,-0.327253729
6496,19,7.00400395,28.32662979,1.141743378,-0.487290778
6497,19,6.9453071,28.43122876,1.04598334,-0.586937996
6498,19,6.886559762,28.52322962,0.920039362,-0.587473376
6499,19,6.838470768,28.59987949,0.766417193,-0.480921141
6500,19,6.80920942,28.66145082,0.61575843,-0.292634983
6501,19,6.803680598,28.7125723,0.511271875,-0.055245516
6502,19,6.825993083,28.76035442,0.477799537,0.223124848
6503,19,6.882627384,28.81018103,0.498257295,0.566346911
6504,19,6.982333502,28.86315615,0.529775629,0.997051679
6505,19,7.13024686,28.91719252,0.540359749,1.479109178
6506,19,7.319382554,28.96945137,0.52256295,1.891353043
6507,19,7.530823549,29.0180603,0.486090018,2.114392146
6508,19,7.746471209,29.06229616,0.442403462,2.156470005
6509,19,7.953596809,29.10218478,0.398891746,2.071278195
6510,19,8.135931344,29.13889732,0.367135942,1.823355348
6511,19,8.272396643,29.17528666,0.363850003,1.364647401
6512,19,8.344490146,29.21562882,0.403380577,0.720928419
6513,19,8.345319304,29.26449576,0.488689389,0.008305988
6514,19,8.284041166,29.32520153,0.607077749,-0.612775788
6515,19,8.175376307,29.39930805,0.741046194,-1.086630287
6516,19,8.032570834,29.48691924,0.876082548,-1.428074228
6517,19,7.875075663,29.58636795,0.994513752,-1.57495882
6518,19,7.726901106,29.69438106,1.08014452,-1.481736255
6519,19,7.604123165,29.80804149,1.136634816,-1.227787022
6520,19,7.510291427,29.92708479,1.190432984,-0.938262471
6521,19,7.443363481,30.05323825,1.261526802,-0.669306758
6522,19,7.404239811,30.18736726,1.34127003,-0.391267706
6523,19,7.395898451,30.32816535,1.407980472,-0.083383605
6524,19,7.414910019,30.47300997,1.448487885,0.190130088
6525,19,7.446983654,30.6196248,1.466149801,0.320714654
6526,19,7.472623045,30.76736799,1.477419836,0.256373404
6527,19,7.47749903,30.91732982,1.499669863,0.048765947
6528,19,7.459587491,31.07137182,1.540387767,-0.179127086
6529,19,7.429897065,31.23075318,1.593805306,-0.296906963
6530,19,7.406903007,31.39525154,1.644974121,-0.229931774
6531,19,7.40635899,31.56312849,1.678756818,-0.005464578
6532,19,7.431867139,31.73199473,1.688668933,0.255077591
6533,19,7.473417864,31.89992626,1.67928536,0.415505048
6534,19,7.515039893,32.06599692,1.660711695,0.416226391
6535,19,7.544341221,32.23005267,1.640578539,0.293024981
6536,19,7.556061566,32.39204315,1.619872541,0.117210052
6537,19,7.549358197,32.55135521,1.593096742,-0.067032492
6538,19,7.525048386,32.70625788,1.549004502,-0.243083208
6539,19,7.487293864,32.85337031,1.471110352,-0.377561823
6540,19,7.446793953,32.98756371,1.341945172,-0.404994707
6541,19,7.418893427,33.10282707,1.152697527,-0.278997958
6542,19,7.414975721,33.19411502,0.91291827,-0.039142662
6543,19,7.433978424,33.25944692,0.653293398,0.190025332
6544,19,7.462086829,33.3012515,0.418007559,0.281044551
6545,19,7.480985554,33.32601973,0.247650624,0.188964043
6546,19,7.477919469,33.34213721,0.161171541,-0.030622547
6547,19,7.451831829,33.35698843,0.148570536,-0.260879792
